Swiss Family Robinson (1940)
Pirates of the Caribbean: On Stranger Tides (2011)
Red Tails (2012)
Frankenweenie (2012)
John Carter (2012)
Treasure Buddies (2012)
The Odd Life of Timothy Green (2012)
Diary of a Whimpy Kid: Dog Days (2012)
Santa Paws 2: The Santa Pups (2012)
Super Buddies (2013)
Percy Jackson: Sea of Monsters (2013)
Saving Mr. Banks (2013)
The Lone Ranger (2013)
Muppets Most Wanted (2014)
Into The Woods (2014)
Maleficent (2014)
Alexander and The Terrible, Horrible, No Good, Very Bad Day (2014)
The Fault in Our Stars (2014)
Cinderella (2015)
Alvin And the Chipmunks: The Road Chip (2015)
The Finest Hours (2016)
The Jungle Book (2016)
Hidden Figures (2016)
Miss Peregrine’s Home for Peculiar Children (2016)
The BFG (2016)
Alice Through The Looking Glass (2016)
Pete’s Dragon (2016)
Queen of Katwe (2016)
Eddie The Eagle (2016)
Newsies: The Broadway Musical (2017)
Beauty and the Beast (2017)
The Greatest Showman (2017)
Pirates of the Caribbean: Dead Men Tell No Tales (2017)
Diary of a Whimpy Kid: The Long Haul (2017)
Christopher Robin (2018)
Mary Poppins Returns (2018)
Dumbo (2019)
Aladdin (2019)
The Lion King (2019)
A Wrinkle in Time (2019)
The Kid Who Would Be King (2019)
Maleficent: Mistress of Evil (2019)
Cruela (2021)
Jungle Cruise (2021)
Free Guy (2021)
West Side Story (2021)
