In Beaver Valley (1950)
Year Million (2017)
Drain The Sunken Pirate City (2017)
Jane (2017)
Titanic: 20 Years Later With James Cameron (2017)
Secrets of Christ’s Tomb: Explorer Special (2017)
Man Among Cheetahs (2017)
Drain Alcatraz (2017)
Decorating Disney: Holiday Magic (2017)
700 Sharks (2018)
Planet of the Birds (2018)
Animal Showdown (2018)
Giants of the Deep Blue (2018)
Weird but True! (2018)
Wild Chile (2018)
Mexico Untamed (2018)
Best Job Ever (2018)
Rocky Mountain Animal Rescue (2018)
Into the Okavango (2018)
Drain the Oceans (2018)
One Strange Rock (2018)
Bug Juice: My Adventures at Camp (2018)
Science Fair (2018)
Free Solo (2018)
Fearless Adventures with Jack Randall(2018)
Secrets of the Zoo (2018)
Spaced Out (2018)
Mars: Inside SpaceX (2018)
Alaska’s Grizzly Gauntlet (2018)
Howie Mandel’s Animals Doing Things (2018)
Mission to the Sun (2018)
The Flood (2018)
Wild Uganda (2018)
Tree Climbing Lions (2018)
Paris to Pittsburgh (2018)
What Sam Sees (2018)
Scuba Sam’s World (2018)
Sam’s Zookeeper’s Challenge (2018)
Destination World (2018)
Pompeii: Secrets of the Dead (2019)
The Giant Robber Crab (2019)
Out There With Jack Randall (2019)
Into the Grand Canyon (2019)
Penguins (2019)
Man Vs Shark (2019)
Prairie Dog Manor (2019)
Lost Treasures of the Maya (2019)
The Lost Tomb of Alexander the Great (2019)
The Lost City of Machu Pichu (2019)
Hostile Planet (2019)
Great Shark Chow Down (2019)
My Music Story (2019)
Okavango: River of Dreams (2019)
Expedition Everest (2019)
Notre Dame: Rage Against The Inferno (2019)
Women of Impact: Changing the World (2019)
Expedition Amelia (2019)
Apollo: Missions to the Moon (2019)
Gordon Ramsay: Uncharted (2019)
Buried Secrets of the Bible with Albert Lin (2019)
Ultimate Viking Sword (2019)
Kingdom of the White Wolf (2019)
Wild Cats of India (2019)
Petra: Secrets of the Ancient Builders (2019)
Oil Spill of the Century (2019)
Lost Treasures of Egypt (2019)
Running Wild with Bear Gryllz (2019)
Dr. T. Lone Star Vet (2019)
Dog: Impossible (2019)
Secrets of the Zoo: Tampa (2019)
The Wizard of Paws (2020)
Great Barrier Reef (2020)
Dolphin Reef (2020)
Jade Eye Leopard (2020)
Elephant (2020)
Jane Goodall: The Hope (2020)
Awesome Animals (2020)
The Disney Family Singalong (2020)
Heartland Docs, DVM (2020)
Critter Fixers: Country Vets (2020)
Chasing the Equinox (2020)
Being the Queen (2020)
Taylor Swift: City of Lover Concert (2020)
Secrets of the Zoo: Tampa (2020)
Secrets of the Zoo: Down Under (2020)
Lost Temple of the Inca (2020)
Surviving the Mount St. Helens Disaster (2020)
The Hidden Kingdoms of China (2020)
Ancient China From Above (2020)
India From Above (2020)
Europe from Above (2020)
Alaska Animal Rescue (2020)
Jungle Animal Rescue (2020)
Wild Portugal (2020)
Wild Central America (2020)
India’s Wild Leopards (2020)
Kingdom of the Mummies (2020)
Mars: One Day On The Red Planet (2020)
Back To The Titanic (2020)
Chadwick Boseman: A Tribute For The King (2020)
Lost on Everest (2020)
Gathering Storm (2020)
X-Ray Earth (2020)
Port Protection Alaska (2020)
Buried Secrets of the Maya (2020)
Cosmos: Possible Worlds (2020)
Texas Storm Crowd (2020)
The Last Ice (2020)
Sharks of the Bermuda Triangle (2020)
Made in a Day (2020)
Earth Moods (2021)
Race to the Center of the Earth (2021)
Kingdom of the Polar Bears (2021)
Orca Vs. Great White (2021)
Rogue Shark (2021)
Shark Beach With Chris Hemsworth (2021)
World’s Biggest Bullshark (2021)
The Croc That Ate Jaws (2021)
Shark Attack Files (2021)
Shark Attack: The Paige Winter Story (2021)
Shark Gangs (2021)
World’s Deadliest Sharks (2021)
Cesar Millan: Better Human Better Dog (2021)
Smoky Mountain Park Rangers (2021)
Unknown Waters with Jeremy Wade (2021)
Flooded Tombs of The Nile (2021)
Disney’s Magic Bake-Off  (2021)
The Hatcher Family Diary (2021)
Drain The Oceans: The Mississippi River & Arctic War (2021)
Impact With Gal Gadot (2021)
Save Our Squad with David Beckham (2022)
Saving Notre Dame (2022)
Gordon Ramsay: Uncharted Showdown (2022)
The Lion Ranger (2022)
Eyewitness: D-Day (2022)
Limitless with Chris Hemsworth (2022)
Mickey: The Story of a Mouse (2022)
Buried Secrets of WWII (2022)
The Witch Doctor Will See You Now (2022)
Egypt with the World’s Greatest Explorer (2022)
Last of the Giants: Wild Fish (2022)
World’s Deadliest: Jaws and Sins (2022)
